INFO 2026-01-15 15:30:50,273 autoreload Watching for file changes with StatReloader
DEBUG 2026-01-15 15:30:50,274 autoreload Waiting for apps ready_event.
DEBUG 2026-01-15 15:30:50,279 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2026-01-15 15:30:50,282 autoreload Watching dir D:\Programmation\mediatheque\mediatheque_project\app_bibliothecaire\templates with glob **/*.
DEBUG 2026-01-15 15:30:50,282 autoreload Watching dir D:\Programmation\mediatheque\mediatheque_project\locale with glob **/*.mo.
DEBUG 2026-01-15 15:30:50,282 autoreload Watching dir D:\Programmation\mediatheque\mediatheque_project\app_mediatheque\locale with glob **/*.mo.
DEBUG 2026-01-15 15:30:50,283 autoreload Watching dir D:\Programmation\mediatheque\mediatheque_project\app_bibliothecaire\locale with glob **/*.mo.
DEBUG 2026-01-15 15:30:50,288 autoreload Watching dir D:\Programmation\mediatheque\mediatheque_project\app_membre\locale with glob **/*.mo.
DEBUG 2026-01-15 15:30:50,301 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2026-01-15 15:30:50,302 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2026-01-15 15:30:50,339 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\utils\tree.py first seen with mtime 1756806607.956855
DEBUG 2026-01-15 15:30:50,339 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\core\signals.py first seen with mtime 1756806607.8813057
DEBUG 2026-01-15 15:30:50,339 autoreload File D:\Programmation\mediatheque\mediatheque_project\app_membre\urls.py first seen with mtime 1764253258.3916245
DEBUG 2026-01-15 15:30:50,340 autoreload File C:\Python313\Lib\asyncio\tasks.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,340 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\db\__init__.py first seen with mtime 1756806607.8993194
DEBUG 2026-01-15 15:30:50,340 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\template\loaders\base.py first seen with mtime 1756806607.9463503
DEBUG 2026-01-15 15:30:50,340 autoreload File C:\Python313\Lib\logging\handlers.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,340 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\db\models\fields\mixins.py first seen with mtime 1756806607.9188297
DEBUG 2026-01-15 15:30:50,340 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\core\checks\async_checks.py first seen with mtime 1756806607.883808
DEBUG 2026-01-15 15:30:50,340 autoreload File C:\Python313\Lib\quopri.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,340 autoreload File C:\Python313\DLLs\_queue.pyd first seen with mtime 1755178418.0
DEBUG 2026-01-15 15:30:50,340 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\contrib\sites\__init__.py first seen with mtime 1756806607.8351085
DEBUG 2026-01-15 15:30:50,340 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\core\management\__init__.py first seen with mtime 1756806607.8918107
DEBUG 2026-01-15 15:30:50,340 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\views\decorators\csrf.py first seen with mtime 1756806607.960356
DEBUG 2026-01-15 15:30:50,341 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\middleware\http.py first seen with mtime 1756806607.9413395
DEBUG 2026-01-15 15:30:50,341 autoreload File C:\Python313\Lib\email\mime\multipart.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,341 autoreload File C:\Python313\Lib\calendar.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,341 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\contrib\auth\middleware.py first seen with mtime 1756806607.4629538
DEBUG 2026-01-15 15:30:50,341 autoreload File C:\Python313\Lib\zoneinfo\_tzpath.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,341 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\contrib\auth\models.py first seen with mtime 1756806607.4629538
DEBUG 2026-01-15 15:30:50,341 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\utils\functional.py first seen with mtime 1756806607.9538522
DEBUG 2026-01-15 15:30:50,341 autoreload File C:\Python313\DLLs\_ctypes.pyd first seen with mtime 1755178420.0
DEBUG 2026-01-15 15:30:50,342 autoreload File C:\Python313\Lib\asyncio\format_helpers.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,342 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\contrib\admin\templatetags\log.py first seen with mtime 1756806607.4159255
DEBUG 2026-01-15 15:30:50,342 autoreload File C:\Python313\Lib\pathlib\_local.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,342 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\db\models\sql\query.py first seen with mtime 1756806607.9228294
DEBUG 2026-01-15 15:30:50,342 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\contrib\admin\exceptions.py first seen with mtime 1756806607.2980733
DEBUG 2026-01-15 15:30:50,342 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\core\serializers\__init__.py first seen with mtime 1756806607.8978221
DEBUG 2026-01-15 15:30:50,342 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\db\backends\base\features.py first seen with mtime 1756806607.9013221
DEBUG 2026-01-15 15:30:50,343 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\views\__init__.py first seen with mtime 1756806607.9583547
DEBUG 2026-01-15 15:30:50,343 autoreload File D:\Programmation\mediatheque\mediatheque_project\app_bibliothecaire\forms.py first seen with mtime 1762474667.138938
DEBUG 2026-01-15 15:30:50,343 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\db\migrations\operations\special.py first seen with mtime 1756806607.9143295
DEBUG 2026-01-15 15:30:50,343 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\template\backends\__init__.py first seen with mtime 1756806607.9448502
DEBUG 2026-01-15 15:30:50,343 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\utils\_os.py first seen with mtime 1756806607.95085
DEBUG 2026-01-15 15:30:50,343 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\core\__init__.py first seen with mtime 1756806607.880806
DEBUG 2026-01-15 15:30:50,343 autoreload File C:\Python313\Lib\re\_constants.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,343 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\db\models\query.py first seen with mtime 1756806607.9173295
DEBUG 2026-01-15 15:30:50,343 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\db\backends\__init__.py first seen with mtime 1756806607.8998191
DEBUG 2026-01-15 15:30:50,343 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\views\generic\dates.py first seen with mtime 1756806607.9613566
DEBUG 2026-01-15 15:30:50,343 autoreload File C:\Python313\Lib\_compression.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,343 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\db\backends\utils.py first seen with mtime 1756806607.9003193
DEBUG 2026-01-15 15:30:50,343 autoreload File C:\Python313\Lib\struct.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,343 autoreload File C:\Python313\Lib\opcode.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,344 autoreload File C:\Python313\Lib\asyncio\base_futures.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,344 autoreload File D:\Programmation\mediatheque\Lib\site-packages\sqlparse\filters\reindent.py first seen with mtime 1756806607.1557398
DEBUG 2026-01-15 15:30:50,344 autoreload File C:\Python313\Lib\email\encoders.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,344 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\template\exceptions.py first seen with mtime 1756806607.943847
DEBUG 2026-01-15 15:30:50,344 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\middleware\common.py first seen with mtime 1756806607.9408395
DEBUG 2026-01-15 15:30:50,344 autoreload File C:\Python313\Lib\dis.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,344 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\urls\converters.py first seen with mtime 1756806607.9498503
DEBUG 2026-01-15 15:30:50,344 autoreload File C:\Python313\Lib\nturl2path.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,344 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\http\__init__.py first seen with mtime 1756806607.9393396
DEBUG 2026-01-15 15:30:50,345 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\contrib\admin\decorators.py first seen with mtime 1756806607.2975707
DEBUG 2026-01-15 15:30:50,345 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\core\paginator.py first seen with mtime 1756806607.8813057
DEBUG 2026-01-15 15:30:50,345 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\db\migrations\migration.py first seen with mtime 1756806607.9123244
DEBUG 2026-01-15 15:30:50,345 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\db\models\functions\datetime.py first seen with mtime 1756806607.9208293
DEBUG 2026-01-15 15:30:50,345 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\db\models\sql\where.py first seen with mtime 1756806607.9228294
DEBUG 2026-01-15 15:30:50,345 autoreload File C:\Python313\Lib\asyncio\threads.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,345 autoreload File D:\Programmation\mediatheque\mediatheque_project\app_membre\views.py first seen with mtime 1764253541.5901504
DEBUG 2026-01-15 15:30:50,345 autoreload File D:\Programmation\mediatheque\Lib\site-packages\sqlparse\filters\output.py first seen with mtime 1756806607.1557398
DEBUG 2026-01-15 15:30:50,346 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\http\cookie.py first seen with mtime 1756806607.9393396
DEBUG 2026-01-15 15:30:50,346 autoreload File C:\Python313\Lib\http\cookies.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,346 autoreload File C:\Python313\Lib\asyncio\locks.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,346 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\template\loaders\__init__.py first seen with mtime 1756806607.9458501
DEBUG 2026-01-15 15:30:50,346 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\db\models\fields\related_descriptors.py first seen with mtime 1756806607.9198294
DEBUG 2026-01-15 15:30:50,346 autoreload File C:\Python313\Lib\html\entities.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,346 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\contrib\auth\tokens.py first seen with mtime 1756806607.4639592
DEBUG 2026-01-15 15:30:50,346 autoreload File C:\Python313\Lib\platform.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,346 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\shortcuts.py first seen with mtime 1756806607.216006
DEBUG 2026-01-15 15:30:50,346 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\db\backends\sqlite3\creation.py first seen with mtime 1756806607.9098246
DEBUG 2026-01-15 15:30:50,347 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\utils\choices.py first seen with mtime 1756806607.95185
DEBUG 2026-01-15 15:30:50,347 autoreload File C:\Python313\Lib\copy.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,347 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\template\backends\django.py first seen with mtime 1756806607.9453506
DEBUG 2026-01-15 15:30:50,347 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\views\static.py first seen with mtime 1756806607.9588575
DEBUG 2026-01-15 15:30:50,347 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\utils\timesince.py first seen with mtime 1756806607.9563549
DEBUG 2026-01-15 15:30:50,347 autoreload File C:\Python313\DLLs\_sqlite3.pyd first seen with mtime 1755178420.0
DEBUG 2026-01-15 15:30:50,347 autoreload File C:\Python313\Lib\locale.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,347 autoreload File C:\Python313\Lib\asyncio\windows_utils.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,347 autoreload File C:\Python313\Lib\multiprocessing\__init__.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,347 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\utils\encoding.py first seen with mtime 1756806607.95285
DEBUG 2026-01-15 15:30:50,348 autoreload File C:\Python313\DLLs\_wmi.pyd first seen with mtime 1755178418.0
DEBUG 2026-01-15 15:30:50,348 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\contrib\sessions\backends\base.py first seen with mtime 1756806607.7945879
DEBUG 2026-01-15 15:30:50,348 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\db\models\sql\datastructures.py first seen with mtime 1756806607.9228294
DEBUG 2026-01-15 15:30:50,348 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\core\handlers\base.py first seen with mtime 1756806607.8893106
DEBUG 2026-01-15 15:30:50,348 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\contrib\admin\templatetags\admin_list.py first seen with mtime 1756806607.4154246
DEBUG 2026-01-15 15:30:50,348 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\urls\base.py first seen with mtime 1756806607.9498503
DEBUG 2026-01-15 15:30:50,348 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\contrib\staticfiles\management\commands\runserver.py first seen with mtime 1756806607.8803062
DEBUG 2026-01-15 15:30:50,348 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\core\files\uploadedfile.py first seen with mtime 1756806607.8878107
DEBUG 2026-01-15 15:30:50,348 autoreload File C:\Python313\Lib\__future__.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,349 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\db\backends\sqlite3\base.py first seen with mtime 1756806607.9093275
